X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	y
3.48	1.72	5.03	-0.815	5.21	0.724	8.9	2.98	5.08	1.1	7.04	8.51	2.4	4	7.31	6.77	0.674	3.22	1.85	10	6.98	8.03	6.68	6.78	5.35	0
2.24	1.07	5.02	0.641	5.69	1.35	6.03	4.58	5.64	0.506	7.58	8.33	2.32	3.34	6.15	6.61	2.29	5.15	4.13	6.35	5.78	7.02	4.71	8.24	3.71	0
2.88	1.83	4.23	1.02	4.46	0.602	7.37	4.07	7.63	1.9	6.21	6.49	2	4.57	8.26	6.69	1.85	2.16	2.78	5.25	6.75	7.09	6.34	7.43	5.85	0
3.75	2.98	5.75	0.484	5.43	0.737	8.74	3.63	5.06	2.58	5.31	8.88	1.25	3.83	6.92	6.71	1.9	3.98	2.89	8.18	5.05	7.68	5.14	6.35	3.6	1
2.65	2.1	5.64	0.986	6.05	-0.818	8.81	4.26	4.69	0.736	5.19	8.66	2.45	4.63	8.68	6.44	2.58	4.02	3.78	6.18	4.68	6.05	4.17	6.62	5.93	1
3.46	3.67	4.88	-0.0669	4.26	0.237	7.98	3.61	6.43	3.09	5.95	8.32	2.07	3.11	8.31	7.19	-0.158	2.69	3.27	6.28	3.28	7.55	4.1	7.27	3.2	1
2.32	2.29	5.28	0.662	4.26	-0.738	9.08	4.59	6.37	2.59	5.49	7.63	3.02	2.99	8.18	7.13	1.13	3.45	4.08	6.84	6.85	6.78	6.64	7.11	3.44	1
2.95	3.64	5.73	-0.435	3.38	0.142	7.23	4.63	4.4	0.714	6.41	7.57	1.74	4.71	6.96	6.86	1.36	3.71	2.95	5.34	5.88	7.76	4.4	4.96	4.87	1
2.78	3.03	7.23	0.303	3.9	1.13	7.95	4.62	6.17	-0.00776	4.9	9.82	2.83	4.71	7.33	8.09	0.494	3.95	4.53	4.93	6.89	7.51	3.63	6.65	3.73	1
2.38	3.78	5.47	0.94	5.22	-1.05	6.88	4.28	5.79	1.47	6.6	7.75	1.88	4.96	6.54	7.86	1.59	3.17	2.81	8.32	4.95	7.48	4.14	6.6	4.39	1
3.88	1.55	4.71	1.34	5.51	0.263	8.92	2.65	5.89	0.302	8.23	9.51	2.76	4.4	7.89	6.83	2.67	3.02	4.32	7.7	4.96	6.01	3.44	8.46	3.88	0
1.6	3.16	5.12	0.3	3.37	-0.462	9.61	3.68	5.7	0.261	6.72	7.61	3.43	1.91	9.43	7.78	0.336	3.43	3.3	6.27	6.65	7.13	7.37	7.87	5.61	1
2.42	3.69	5.45	0.802	4.4	0.0171	9.28	5.16	5.31	1.15	5.46	7.29	1.67	4.2	9.54	5.73	0.863	2.37	3.27	7.42	5.66	7.34	3.93	7.24	3.7	1
3.68	2.1	7.54	-0.264	5.04	0.523	7.66	4.55	5.86	0.17	6.83	8.68	3.81	4.01	7.79	4.66	1.47	2.5	5.06	6.14	5.85	7.05	4.39	9.11	5.4	1
1.41	2.83	2.7	-0.59	4.58	0.352	8.55	3.82	4.81	1.25	6.69	8.18	4.19	4.29	7.31	5.6	3.28	3.8	3.61	6.81	5.28	6.87	4.16	8.12	3.89	1
3.88	4.66	6.42	-0.171	3.94	1.51	7.55	4.06	5	2.05	6.92	10.3	2.51	5.28	8.1	7.73	3.01	1.96	4.67	7.72	5.7	5.94	4.24	7.08	3.29	1
3.59	2.18	7.08	-0.12	4.66	1.07	6.86	4.2	4.26	2.22	6.68	9.63	4.49	5.07	7.28	6.17	3.91	2.98	3.51	7.14	4.43	6.44	4.53	8.6	4.88	1
2.66	1.7	5.76	0.985	4.42	0.00274	7.83	3.86	6.78	1.66	8.23	7.95	2.39	5.6	10.1	6.79	2.81	2.4	3.3	7.29	5.26	8.3	5.01	7.11	4.47	0
4.08	2.27	6.34	0.972	3.25	-0.165	10.5	3.47	4.75	1.96	7.86	8.63	3.86	3.37	8.03	6.75	1.89	4.22	2.75	8.51	5.27	8.25	3.54	5.67	3.48	0
3.17	2.16	5	1.7	4.07	0.0506	9.07	2.99	7.59	1.96	5.63	9.57	3.98	3.54	8.56	7.96	1.48	3.03	3.77	7.29	4.17	6.64	5.15	8.32	4.68	0
3.98	0.96	4.97	1.02	5.43	0.031	7.98	4.73	4.33	2.32	5.11	9.53	3.25	3.58	7.34	5.36	2.22	3.93	2.51	6.21	4.97	8.26	5.67	6.73	3.34	0
1.19	3.43	5.07	-1.29	3.82	-0.437	7.78	2.97	6.41	1.72	6.76	9.31	3.48	5.07	6.72	6.8	1.51	4.12	3.51	6.1	5.85	6.59	4.78	7.84	4.61	1
3	2	5.93	-0.266	6.87	-0.136	7.23	3.21	5.32	1.65	5.42	9.31	3.64	2.85	6.73	6.72	4.45	4.04	3.42	6.88	5.76	7.2	5.13	6.93	2.92	0
2.5	2.16	4.69	0.455	3.56	-0.0832	8.06	4.09	6.74	2.28	5.54	8.78	3.53	3.93	9.18	6.93	0.494	6.01	3.45	5.6	5.33	6.14	6.36	6.88	3.91	0
2.46	2.92	3.27	-0.819	3.24	1.24	8.97	4	4.07	1.51	6.49	8.07	2.75	2.2	8.04	7.66	2.84	2.28	3.41	6.13	5.07	9.5	5.7	7.47	4.9	1
0.837	1.79	6.22	0.625	6.64	0.264	8.42	4.89	2.93	0.938	6.61	8.76	3.5	5.26	8.78	7.5	1.55	4.53	4.53	8.05	5.74	6.87	4.88	7.3	3.94	1
2.09	2.79	6.99	2.45	6.29	-0.22	6.57	3.56	4.93	2.94	7.16	10.6	1.97	3.55	6.14	7.4	0.948	3.63	4.49	8.1	4.98	7.28	5.01	7.82	3.55	0
1.47	3.08	5.83	0.763	4.06	-0.0571	8.13	1.53	5.41	2.91	5.34	8.07	3.05	5.27	7.38	6.56	3.33	2.13	2.33	8.29	5.11	8.33	6.97	7.46	2.7	0
2.11	0.864	5.52	1.45	3.23	0.0721	10.3	5.4	2.69	3.65	6.68	10.1	3.69	5.06	8.1	7.01	3.81	4.08	2.97	6.93	4.58	7.59	3.72	6.45	2.47	0
3.9	3.18	6.2	1.23	4.99	-1.13	8.42	3.03	5.47	2.71	6.41	7.45	1.76	3.33	5.98	7.26	1.88	1.38	3.49	7.41	6.67	5.29	5.41	8.87	4.11	0
3.91	2.63	2.88	0.204	3.72	0.775	8.7	3.88	5.81	0.535	7.02	7.39	3.84	2.23	9.92	7.41	2.17	3.79	4.98	4.87	5.71	7.07	5.96	6.78	4.18	1
5.13	2.76	5.61	0.61	3.78	1.16	8.76	3.13	3.12	2.99	6.84	10.8	3.03	4.76	6.07	6.05	4.41	3.4	4.01	6.34	7.28	8	5.41	6.24	2.46	0
3.25	0.767	6.02	-1.23	3.59	0.723	8.16	4.52	4.89	2.69	6.49	9.36	3.47	5.17	7.61	5.97	1.37	3.27	1.63	8.07	6.8	7.1	5.81	9	4.27	0
2.61	3.08	5.3	0.881	5.3	-0.445	6.84	4.8	5.54	1.79	6.3	9.43	3.02	4.31	6.44	5.53	0.278	2.82	4.02	8.59	4.79	6.69	4.84	7.29	5.61	1
2.63	3.55	5.89	1.42	4.61	1.07	8.52	3.87	3.26	1.54	6.67	9.35	1.83	5.26	7.21	6.57	2.07	3.41	3.95	6.64	6.83	6.25	5.6	7.66	3.53	1
2.32	4.24	6.92	0.0703	3.54	0.347	8.26	1.72	6.95	1.47	4.26	8.49	1.6	4.79	7.08	5.34	0.299	2.4	2.83	9.59	4.47	7.29	4.63	5.25	4.63	0
2.34	2	6.27	-0.00568	4.14	1.3	7.33	2.16	6.3	2.17	5.47	8.76	1.68	5.15	7.35	8.18	1.99	3.84	3.46	7.33	5.46	7.09	4.88	9	2.58	0
3.09	3.55	4.15	-1.13	4.9	0.11	7.94	3.31	3.58	0.671	7.76	9.48	3.71	5.31	8.62	5.93	0.957	3.08	6.01	6.26	5.52	5.68	3.84	8.51	4.35	1
1.41	2.34	5.93	0.184	6	0.191	6.4	2.46	4.97	0.676	5.94	9.47	1.59	5.1	7.66	8.1	1.61	3.22	4.21	6.86	5.79	7.07	5.57	5.93	4.49	0
3.88	2.77	5.56	-0.424	5.36	-0.422	7.21	4.33	5.71	3.49	6.54	6.56	1.88	3.92	7.7	6.83	3.12	4.01	4.17	8.16	5.45	5.77	6.31	6.42	4.64	1
3.81	2.92	4.64	0.796	4.06	0.618	7.9	5.57	4.91	1.28	5.32	8.48	1.78	3.16	9.36	8.16	2.04	2.8	5.22	7.08	5.24	8.66	6.48	7.97	3.22	1
2.75	2.02	5.44	1.7	4.65	0.643	8.04	4.06	6.99	3.08	6.04	11.9	4.04	4.38	8.54	8.41	2.11	3.27	2.61	6.96	5.5	8.65	6.14	7.75	3.11	0
2.39	4.03	5.04	0.598	4.61	-2.74	8.02	4.36	4.29	0.455	6.46	7.21	3.08	5.01	6.18	8.68	2.44	1.18	6.38	6.45	5.65	7.86	5.46	6.84	3.96	1
4.42	2.71	3.05	1.22	4.71	-0.339	8.38	2.44	5.51	1.41	5.53	9.45	3.6	4.94	8.61	4.74	1.58	4.25	3.62	7.83	6.12	6.51	4.88	7.47	4.87	0
2.14	4.5	5.27	-0.826	4.81	0.908	7.34	1.92	4.59	0.529	7.93	8.24	2.93	3.71	8.71	8.23	1.18	2.63	3.29	9.29	5.29	7.39	4.44	7.62	2.85	1
4.92	3.62	5.22	0.357	3.35	1.37	8.36	3.51	5.49	0.472	6.54	8.75	3.58	5.27	7.28	6.62	2.3	5.06	5.62	6.6	3.84	7.21	4.14	8.83	6.16	1
